x,y,lcdi
-92.5,89.5,5.349144159
-91.5,89.5,5.348955449
-90.5,89.5,5.348815884
-89.5,89.5,5.349052527
-88.5,89.5,5.348911986
-87.5,89.5,5.348847101
-86.5,89.5,5.348797613
-85.5,89.5,5.348509273
-84.5,89.5,5.348174008
-83.5,89.5,5.348069897
-82.5,89.5,5.347789532
-81.5,89.5,5.347743847
-80.5,89.5,5.347525184
-79.5,89.5,5.347243199
-78.5,89.5,5.347030979
-77.5,89.5,5.346839817
-76.5,89.5,5.346335264
-75.5,89.5,5.34599572
-74.5,89.5,5.345653757
-73.5,89.5,5.345322194
-72.5,89.5,5.345059495
-71.5,89.5,5.344992596
-70.5,89.5,5.344826526
-69.5,89.5,5.344766455
-68.5,89.5,5.344633427
-67.5,89.5,5.344426881
-66.5,89.5,5.344143832
-65.5,89.5,5.343950947
-64.5,89.5,5.343696415
-63.5,89.5,5.343285038
-62.5,89.5,5.343045189
-61.5,89.5,5.342852871
-60.5,89.5,5.342614931
-59.5,89.5,5.34217835
-58.5,89.5,5.342157652
-57.5,89.5,5.342164343
-56.5,89.5,5.342180317
-55.5,89.5,5.34193553
-54.5,89.5,5.341761483
-53.5,89.5,5.341425383
-52.5,89.5,5.34127408
-51.5,89.5,5.340614273
-50.5,89.5,5.340621473
-49.5,89.5,5.340488133
-48.5,89.5,5.339803064
-47.5,89.5,5.339794983
-46.5,89.5,5.339242681
-45.5,89.5,5.339054021
-44.5,89.5,5.338790291
-43.5,89.5,5.338822656
-42.5,89.5,5.338893651
-41.5,89.5,5.33932227
-40.5,89.5,5.338848185
-39.5,89.5,5.338937212
-38.5,89.5,5.339273018
-37.5,89.5,5.339429006
-36.5,89.5,5.339616807
-35.5,89.5,5.339782854
-34.5,89.5,5.340039903
-33.5,89.5,5.34064667
-32.5,89.5,5.341176317
-31.5,89.5,5.341712725
-30.5,89.5,5.342753705
-29.5,89.5,5.343282009
-28.5,89.5,5.343752495
-27.5,89.5,5.344622942
-26.5,89.5,5.345155725
-25.5,89.5,5.345663603
-24.5,89.5,5.346460948
-23.5,89.5,5.346886914
-22.5,89.5,5.347232903
-21.5,89.5,5.34736029
-20.5,89.5,5.347364739
-19.5,89.5,5.347395942
-18.5,89.5,5.347822704
-17.5,89.5,5.348084556
-16.5,89.5,5.348414841
-15.5,89.5,5.349116146
-14.5,89.5,5.350079857
-13.5,89.5,5.35013306
-12.5,89.5,5.350307412
-11.5,89.5,5.350262931
-10.5,89.5,5.349731439
-9.5,89.5,5.349259748
-8.5,89.5,5.348770684
-7.5,89.5,5.348450175
-6.5,89.5,5.348407313
-5.5,89.5,5.348013043
-4.5,89.5,5.347675878
-3.5,89.5,5.348333354
-2.5,89.5,5.347396355
-1.5,89.5,5.347469585
-0.5,89.5,5.347345847
0.5,89.5,5.347145792
1.5,89.5,5.346797229
2.5,89.5,5.34617019
3.5,89.5,5.345605396
4.5,89.5,5.345850271
5.5,89.5,5.345713746
6.5,89.5,5.344753461
7.5,89.5,5.344369998
8.5,89.5,5.344198646
9.5,89.5,5.343900631
10.5,89.5,5.343531046
11.5,89.5,5.343555105
12.5,89.5,5.343317744
13.5,89.5,5.343092179
14.5,89.5,5.342266306
15.5,89.5,5.342981393
16.5,89.5,5.342856884
17.5,89.5,5.342139477
18.5,89.5,5.342303229
19.5,89.5,5.343293797
20.5,89.5,5.342672066
21.5,89.5,5.342873551
22.5,89.5,5.342877041
23.5,89.5,5.343033377
24.5,89.5,5.343059863
25.5,89.5,5.34243691
26.5,89.5,5.343435184
27.5,89.5,5.343500869
28.5,89.5,5.342849511
29.5,89.5,5.343116054
30.5,89.5,5.3442637
31.5,89.5,5.343456149
32.5,89.5,5.343543513
33.5,89.5,5.34362844
34.5,89.5,5.344064264
35.5,89.5,5.344014783
36.5,89.5,5.344079178
37.5,89.5,5.34340876
38.5,89.5,5.344519846
39.5,89.5,5.343881248
40.5,89.5,5.343808763
41.5,89.5,5.344794777
42.5,89.5,5.34396351
43.5,89.5,5.344192775
44.5,89.5,5.344164896
45.5,89.5,5.344589671
46.5,89.5,5.344963718
47.5,89.5,5.345320008
48.5,89.5,5.344777201
49.5,89.5,5.345385513
50.5,89.5,5.345267624
51.5,89.5,5.344801491
52.5,89.5,5.344777458
53.5,89.5,5.344830382
54.5,89.5,5.344763752
55.5,89.5,5.344931194
56.5,89.5,5.344626921
57.5,89.5,5.344606469
58.5,89.5,5.344664262
59.5,89.5,5.34462688
60.5,89.5,5.345274341
61.5,89.5,5.345768673
62.5,89.5,5.345631275
63.5,89.5,5.345586871
64.5,89.5,5.345666847
65.5,89.5,5.345540744
66.5,89.5,5.345643033
67.5,89.5,5.345822051
68.5,89.5,5.345736905
69.5,89.5,5.345768762
70.5,89.5,5.345674018
71.5,89.5,5.345611919
72.5,89.5,5.345718334
73.5,89.5,5.345646604
74.5,89.5,5.345540215
75.5,89.5,5.34533951
76.5,89.5,5.345443839
77.5,89.5,5.345609656
78.5,89.5,5.345484607
79.5,89.5,5.344896219
80.5,89.5,5.3446488
81.5,89.5,5.344360151
82.5,89.5,5.344131922
83.5,89.5,5.343809672
84.5,89.5,5.343763403
85.5,89.5,5.343789045
86.5,89.5,5.34324209
87.5,89.5,5.343024637
88.5,89.5,5.343006867
89.5,89.5,5.343049941
90.5,89.5,5.34224257
91.5,89.5,5.342120855
92.5,89.5,5.341892993
93.5,89.5,5.341752852
94.5,89.5,5.341383891
95.5,89.5,5.34151261
96.5,89.5,5.341227275
97.5,89.5,5.341056427
98.5,89.5,5.340241794
99.5,89.5,5.340107805
100.5,89.5,5.340139351
101.5,89.5,5.339290293
102.5,89.5,5.339292183
103.5,89.5,5.339406281
104.5,89.5,5.339081004
105.5,89.5,5.338455833
106.5,89.5,5.338381447
107.5,89.5,5.338128863
108.5,89.5,5.33808223
109.5,89.5,5.33746785
110.5,89.5,5.337384604
111.5,89.5,5.3373445
112.5,89.5,5.337530095
113.5,89.5,5.336774325
114.5,89.5,5.336765281
115.5,89.5,5.336835433
116.5,89.5,5.33656558
117.5,89.5,5.336617152
118.5,89.5,5.336638895
119.5,89.5,5.336676507
120.5,89.5,5.336440452
121.5,89.5,5.336530211
122.5,89.5,5.336707341
123.5,89.5,5.336584091
124.5,89.5,5.336119793
125.5,89.5,5.33591399
126.5,89.5,5.335675914
127.5,89.5,5.335601522
128.5,89.5,5.335047938
129.5,89.5,5.335253439
130.5,89.5,5.335067577
131.5,89.5,5.334344333
132.5,89.5,5.334478822
133.5,89.5,5.334294398
134.5,89.5,5.334179165
135.5,89.5,5.333845814
136.5,89.5,5.333742385
137.5,89.5,5.333830259
138.5,89.5,5.334065015
139.5,89.5,5.332799079
140.5,89.5,5.332188452
141.5,89.5,5.332131497
142.5,89.5,5.332036044
143.5,89.5,5.331940599
